stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1217,1217,Doctor Peset Aleixandre - Felip Rinaldi,,4374627.92025,725637.903875,,,0,
1218,1218,Amadeu de Savoia - Palau de l'Exposició,,4372664.53,726911.070875,,,0,
1223,1223,Tres Creus (carril bus) - Esteban Pernet,,4371810.68,723120.907,,,0,
1225,1225,Camí nou de Picanya - Arquitecte Segura de Lago,,4370656.3635,723363.569625,,,0,
1229,1229,Els Orriols - Metro Sant Miquel dels Reis,,4375228.635625,726222.133875,,,0,
1231,1231,Dolores Marqués - Metro Benimaclet,,4373986.66425,726754.59375,,,0,
1232,1232,Dolores Marqués - Reverend José María Pinazo,,4374105.663,726799.093,,,0,
1233,1233,Dolores Marqués - Assagador d'Alboraia,,4374281.83,726862.35525,,,0,
1239,1239,Primat Reig - Xàbia,,4373274.0475,727364.772375,,,0,
124,124,Blasco Ibáñez - José María Orense,,4372533.19625,728816.60975,,,0,
1240,1240,Benimaclet - Lliri Blau,,4374158.49875,727298.592125,,,0,
1242,1242,Mediterrània - Doctor Lluch,,4372072.386,729809.988,,,0,
1243,1243,Mediterrània - Reina,,4372086.0975,729757.475875,,,0,
1245,1245,Pont de l'Exposició - Albereda,,4372674.534,726704.148,,,0,
125,125,Blasco Ibáñez - Actor Enrique Rambal,,4372617.587625,728586.996375,,,0,
1254,1254,Cid - Aiora,,4371882.63275,724363.70675,,,0,
126,126,Blasco Ibáñez - Hondures,,4372716.5125,728300.07325,,,0,
1263,1263,Comte de Salvatierra - Colón,,4372359.833,726313.039,,,0,
1265,1265,Conselleria d'Educació,,4373723.119625,724309.11675,,,0,
1266,1266,Avinguda Campanar - Centre de Salut,,4373777.757625,724346.30825,,,0,
1268,1268,Tres Creus (parell) - Hospital General,,4371957.0895,723109.367625,,,0,
127,127,Blasco Ibáñez - Actriu Encarna Máñez,,4372641.066875,728278.113125,,,0,
1272,1272,Campanar - Monestir de Poblet,,4373839.462875,723950.553125,,,0,
1274,1274,Tres Creus - Mercat de Castella,,4371726.837625,723117.6365,,,0,
